1,0.128,1495623092,user_group-21,0.113983,,{}
2,0.170,1495623092,user_group-24,0.155437,,{}
3,0.176,1495623092,user_group-22,0.161842,,{}
4,0.178,1495623092,user_group-23,0.170289,,{}
5,0.186,1495623092,user_group-20,0.170078,,{}
6,0.249,1495623092,user_group-23,0.226266,,{}
7,0.261,1495623092,user_group-22,0.251120,,{}
8,0.273,1495623092,user_group-21,0.250111,,{}
9,0.282,1495623092,user_group-21,0.275950,,{}
10,0.293,1495623092,user_group-23,0.265147,,{}
11,0.262,1495623092,user_group-6,0.235280,,{}
12,0.253,1495623092,user_group-1,0.228320,,{}
13,0.266,1495623092,user_group-1,0.222048,,{}
14,0.264,1495623092,user_group-2,0.242884,,{}
15,0.307,1495623092,user_group-6,0.272089,,{}
16,0.308,1495623092,user_group-1,0.259883,,{}
17,0.319,1495623092,user_group-24,0.284401,,{}
18,0.318,1495623092,user_group-23,0.280997,,{}
19,0.315,1495623092,user_group-21,0.271048,,{}
20,0.330,1495623092,user_group-23,0.284899,,{}
21,0.331,1495623092,user_group-22,0.293849,,{}
22,0.256,1495623092,user_group-4,0.222955,,{}
23,0.305,1495623092,user_group-4,0.263939,,{}
24,0.357,1495623092,user_group-4,0.291177,,{}
25,0.328,1495623092,user_group-24,0.286766,,{}
26,0.377,1495623092,user_group-24,0.312008,,{}
27,0.378,1495623092,user_group-24,0.352100,,{}
28,0.362,1495623092,user_group-21,0.306095,,{}
29,0.369,1495623092,user_group-21,0.333567,,{}
30,0.341,1495623092,user_group-22,0.309168,,{}
31,0.342,1495623092,user_group-22,0.315156,,{}
32,0.342,1495623092,user_group-22,0.321762,,{}
33,0.368,1495623092,user_group-22,0.303287,,{}
34,0.377,1495623092,user_group-22,0.329771,,{}
35,0.279,1495623092,user_group-7,0.244906,,{}
36,0.348,1495623092,user_group-7,0.281729,,{}
37,0.359,1495623092,user_group-7,0.287670,,{}
38,0.378,1495623092,user_group-7,0.332574,,{}
39,0.365,1495623092,user_group-1,0.293168,,{}
40,0.396,1495623092,user_group-23,0.378844,,{}
41,0.468,1495623092,user_group-2,0.428133,,{}
42,0.284,1495623092,user_group-25,0.253390,,{}
43,0.308,1495623092,user_group-25,0.295466,,{}
44,0.323,1495623092,user_group-25,0.305812,,{}
45,0.358,1495623092,user_group-25,0.295145,,{}
46,0.336,1495623092,user_group-25,0.282249,,{}
47,0.421,1495623092,user_group-6,0.363576,,{}
48,0.426,1495623092,user_group-6,0.346978,,{}
49,0.431,1495623092,user_group-6,0.386011,,{}
50,0.443,1495623092,user_group-22,0.347714,,{}
51,0.411,1495623092,user_group-21,0.337876,,{}
52,0.382,1495623092,user_group-25,0.340373,,{}
53,0.426,1495623092,user_group-24,0.352909,,{}
54,0.501,1495623092,user_group-24,0.448418,,{}
55,0.430,1495623092,user_group-1,0.366160,,{}
56,0.344,1495623092,user_group-20,0.305105,,{}
57,0.440,1495623092,user_group-20,0.415591,,{}
58,0.444,1495623092,user_group-20,0.370916,,{}
59,0.454,1495623092,user_group-20,0.386933,,{}
60,0.492,1495623092,user_group-20,0.462240,,{}
61,0.501,1495623092,user_group-20,0.387555,,{}
62,0.335,1495623092,user_group-5,0.289534,,{}
63,0.382,1495623092,user_group-5,0.310607,,{}
64,0.498,1495623092,user_group-7,0.412302,,{}
65,0.432,1495623092,user_group-12,0.346008,,{}
66,0.440,1495623092,user_group-12,0.367893,,{}
67,0.371,1495623092,user_group-10,0.286083,,{}
